"l","robustness","d_driver"
1,"redundant",0
2,"redundant",0
3,"critical",1
4,"redundant",0
5,"redundant",0
6,"redundant",0
7,"redundant",0
8,"redundant",0
9,"redundant",0
10,"redundant",0
11,"redundant",0
12,"redundant",0
13,"redundant",0
14,"ordinary",-1
15,"redundant",0
16,"redundant",0
17,"redundant",0
18,"redundant",0
19,"ordinary",-1
20,"redundant",0
21,"redundant",0
22,"redundant",0
23,"redundant",0
24,"redundant",0
25,"redundant",0
26,"redundant",0
27,"redundant",0
28,"redundant",0
29,"redundant",0
30,"redundant",0
31,"redundant",0
32,"redundant",0
33,"redundant",0
34,"redundant",0
35,"ordinary",-1
36,"ordinary",-1
37,"redundant",0
38,"redundant",0
39,"redundant",0
40,"redundant",0
41,"redundant",0
42,"redundant",0
43,"redundant",0
44,"redundant",0
45,"ordinary",-1
46,"redundant",0
47,"redundant",0
48,"redundant",0
49,"redundant",0
50,"redundant",0
51,"redundant",0
52,"redundant",0
53,"redundant",0
54,"redundant",0
55,"redundant",0
56,"redundant",0
57,"redundant",0
58,"redundant",0
59,"redundant",0
60,"redundant",0
61,"redundant",0
62,"redundant",0
63,"redundant",0
64,"redundant",0
65,"redundant",0
66,"redundant",0
67,"redundant",0
68,"ordinary",-1
69,"redundant",0
70,"redundant",0
71,"redundant",0
72,"redundant",0
73,"redundant",0
74,"redundant",0
75,"redundant",0
76,"redundant",0
77,"redundant",0
78,"redundant",0
79,"redundant",0
80,"redundant",0
81,"redundant",0
82,"redundant",0
83,"redundant",0
84,"redundant",0
85,"redundant",0
86,"critical",1
87,"redundant",0
88,"redundant",0
89,"redundant",0
90,"redundant",0
91,"redundant",0
92,"redundant",0
93,"redundant",0
94,"redundant",0
95,"ordinary",-1
96,"redundant",0
97,"ordinary",-1
98,"redundant",0
99,"ordinary",-1
100,"redundant",0
101,"redundant",0
102,"redundant",0
103,"ordinary",-1
104,"ordinary",-1
105,"ordinary",-1
106,"redundant",0
107,"redundant",0
108,"redundant",0
109,"redundant",0
110,"redundant",0
111,"redundant",0
112,"redundant",0
113,"redundant",0
114,"redundant",0
115,"ordinary",-1
116,"redundant",0
117,"ordinary",-1
118,"redundant",0
119,"redundant",0
120,"redundant",0
121,"ordinary",-1
122,"ordinary",-1
123,"redundant",0
124,"redundant",0
125,"redundant",0
126,"redundant",0
127,"redundant",0
128,"redundant",0
129,"ordinary",-1
130,"ordinary",-1
131,"redundant",0
132,"redundant",0
133,"redundant",0
134,"redundant",0
135,"ordinary",-1
136,"redundant",0
137,"redundant",0
138,"ordinary",-1
139,"ordinary",-1
140,"ordinary",-1
141,"ordinary",-1
142,"ordinary",-1
143,"ordinary",-1
144,"ordinary",-1
145,"redundant",0
146,"redundant",0
147,"redundant",0
148,"ordinary",-1
149,"redundant",0
150,"redundant",0
151,"redundant",0
152,"ordinary",-1
153,"redundant",0
154,"ordinary",-1
155,"redundant",0
156,"redundant",0
157,"redundant",0
158,"redundant",0
159,"redundant",0
160,"redundant",0
161,"redundant",0
162,"redundant",0
163,"ordinary",-1
164,"redundant",0
165,"ordinary",-1
166,"ordinary",-1
167,"redundant",0
168,"ordinary",-1
169,"ordinary",-1
170,"critical",1
