"n","robustness","d_driver"
1,"redundant",-1
2,"ordinary",0
3,"ordinary",0
4,"ordinary",0
5,"ordinary",0
6,"redundant",-1
7,"redundant",-1
8,"redundant",-1
9,"redundant",-1
10,"ordinary",0
11,"ordinary",0
12,"redundant",-1
13,"redundant",-1
14,"redundant",-1
15,"redundant",-1
16,"redundant",-1
17,"redundant",-1
18,"redundant",-1
19,"redundant",-1
20,"redundant",-1
21,"redundant",-1
22,"redundant",-1
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
