"n","robustness","d_driver"
1,"critical",1
2,"critical",1
3,"critical",1
4,"critical",1
5,"critical",1
6,"critical",1
7,"critical",1
8,"critical",1
9,"critical",1
10,"critical",1
11,"critical",1
12,"critical",1
13,"critical",1
14,"critical",1
15,"critical",1
16,"redundant",-1
17,"redundant",-1
18,"redundant",-1
19,"redundant",-1
20,"redundant",-1
21,"redundant",-1
22,"redundant",-1
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
34,"critical",1
35,"redundant",-1
36,"critical",1
37,"redundant",-1
38,"redundant",-1
39,"redundant",-1
40,"redundant",-1
41,"redundant",-1
42,"redundant",-1
43,"redundant",-1
44,"redundant",-1
45,"redundant",-1
46,"redundant",-1
47,"redundant",-1
48,"redundant",-1
49,"redundant",-1
50,"redundant",-1
51,"redundant",-1
52,"redundant",-1
53,"redundant",-1
54,"redundant",-1
55,"redundant",-1
56,"redundant",-1
57,"redundant",-1
