"n","robustness","d_driver"
1,"ordinary",0
2,"ordinary",0
3,"ordinary",0
4,"redundant",-1
5,"ordinary",0
6,"ordinary",0
7,"ordinary",0
8,"ordinary",0
9,"redundant",-1
10,"ordinary",0
11,"redundant",-1
12,"redundant",-1
13,"redundant",-1
14,"redundant",-1
15,"redundant",-1
16,"redundant",-1
17,"redundant",-1
18,"redundant",-1
19,"redundant",-1
20,"redundant",-1
21,"redundant",-1
22,"redundant",-1
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
34,"redundant",-1
35,"redundant",-1
36,"redundant",-1
37,"redundant",-1
38,"redundant",-1
39,"redundant",-1
40,"redundant",-1
41,"redundant",-1
42,"redundant",-1
43,"redundant",-1
44,"redundant",-1
45,"redundant",-1
46,"redundant",-1
47,"redundant",-1
48,"redundant",-1
49,"redundant",-1
50,"redundant",-1
51,"redundant",-1
52,"redundant",-1
53,"redundant",-1
54,"redundant",-1
55,"redundant",-1
56,"redundant",-1
57,"redundant",-1
